entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
BETRANCOURT SAS;TPE / PME;323601336;Verdissement;Modernisation de la filière aéronautique;SOMME;ALBERT;80300;50.0040829344, 2.6483138296;"BETRANCOURT SAS est une entreprise familiale de près de 75 ans, spécialisée dans l'usinage de pièces techniques de petite, moyenne et grande dimension dans tous les secteurs d’activités industrielles.
Le projet consiste en un plan de développement passant par la diversification des secteurs d’activités, la modernisation des outils de production en se dirigeant vers l’industrie 4.0 et REV3, ainsi que l'amélioration et la réduction des consommations énergétiques et la diminution des rejets.";Aéronautique;2021-02-10;Aéronautique;;80.0;HAUTS-DE-FRANCE
IXBLUE;ETI;433185121;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;YVELINES;SAINT-GERMAIN-EN-LAYE;78100;48.9407041394, 2.09870929375;"iXblue, acteur reconnu mondialement dans le domaine des systèmes de navigation inertielle notamment pour les applications spatiales a pour ambition d’accélérer son développement sur ce marché, contribuant ainsi à la consolidation de cette filière stratégique qui participe à l'indépendance industrielle de la France. Afin de s'imposer comme leader mondial dans ce domaine, iXblue a développé un système innovant pour le secteur stratégique du New Space et doit désormais augmenter ses capacités de production sur son site de Saint-Germain-en-Laye (78). Ce projet renforcera l'attractivité et la capacité industrielle de son site, labellisé ""Territoires d'industrie"" et « Grand lieu d’innovation » depuis 2019.";Projets territoriaux;2021-03-02;Autres;;78.0;ÎLE-DE-FRANCE
CRISTAL UNION;GE;421343369;Verdissement;Efficacité énergétique et évolution des procédés dans l’industrie;SOMME;VILLERS-FAUCON;80240;49.982940491999535, 3.123990303159808;"Cristal Union investit pour sa sucrerie de Sainte Emilie dans une nouvelle unité de séchage indirecte de pulpes de betteraves qui permettra de valoriser la chaleur fatale et entrainera l’arrêt de l’usage du charbon, qui permettra de réduire les émissions de poussières, de soufre et de NOx.
Cet investissement conduira à une diminution des émissions de CO2 de l’activité de séchage de 90% (réduction de plus de 40 000 tonnes chaque année) soit une réduction de 5% à l’échelle du groupe.";Efficacité énergétique;2021-02-10;Agroalimentaire;40262;80.0;HAUTS-DE-FRANCE
DERICHEBOURG ENVIRONNEMENT;GE;493038079;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;VAL-DE-MARNE;BONNEUIL-SUR-MARNE;94380;48.77915703981486, 2.490876693123411;L'entreprise DERICHEBOURG ENVIRONNEMENT est spécialisée dans le recyclage des déchets métalliques et biens de consommation en fin de vie. En lien étroit avec sa filiale Fricom Recycling, le projet vise à assurer une dépollution innovante  de déchets d'équipements électriques et électroniques (DEEE) contenant des gaz fluorés afin de réduire l'impact environnemental de leur recyclage. La création d'une nouvelle unité sur un site déjà existant en IDF favorisera un recyclage de proximité. basée dans le Port de Bonneuil sur Marne, l'installation aura recours au transport fluvial pour acheminer les matières premières de recyclage. L'entreprise prévoit de créer 25 emplois à travers ce projet.;Projets territoriaux;2021-08-05;Transformation et valorisation des déchets;;94.0;ÎLE-DE-FRANCE
Scierie LABOUHEYRE (groupe ARCHIMBAUD);GE;38825826100014;Verdissement;Soutien à la chaleur bas carbone;LANDES;LABOUHEYRE;40210;44.2202753645, -0.906919616539;La scierie LABOULHEYRE appartient au groupe Archimbaud, ce dernier est spécialisé dans le sciage de résineux et la fabrication de palettes avec 5 sites de production. Le groupe emploie 190 personnes et produit 2 500 000 palettes, 200 000 t de granulés chaque année. L'augmenetation de la production du site de Labouheyre pour les palettes ainsi que les granulés permet au groupe de répondre aux besoins de nouveaux marchés (agroalimentaire, industries pharmaceutiques). Cette évolution nécessite une chaudière supplémentaire. Cette nouvelle chaudière de 5 MW va venir en complément d'une chaudière de 5,5 MWth ainsi que d'une cogénération de 14 MWth et 3,4MWe. Cela va ainsi permettre de couvrir la totalité des besoins du site. Ce projet permettra d'éviter les émissions de 8 300 tonnes de CO2 par an.;Soutien à la chaleur bas carbone;2021-08-25;Bois;8300;40.0;NOUVELLE-AQUITAINE
SIGEDI SAS;ETI;32027839300022;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;AIN;LOYETTES;1360;45.7921564114, 5.21770971647;"Les vocations premières de SIGEDI sont les études, la fabrication de pièces soudées/chaudronnées dans ses ateliers ainsi que les interventions sur tous les sites nucléaires. SIGEDI est structurée pour répondre aux différents domaines métallurgiques, mécaniques et électriques.
Le programme SIG-UP consiste à développer l’ensemble des phases de fabrication, étude, réalisation, suivi et contrôle en trois lots connexes à même de traiter le processus de fabrication : Digitalisation de la fabrication et du soudage, modernisation de l’outil de production et augmentation des capacités de production, ainsi que contrôle non destructif des soudures en aciers inoxydables par qualification d’une technique alternative à la radiographie.";Nucléaire;2021-10-28;Nucléaire;;1.0;AUVERGNE-RHÔNE-ALPES
ETS GUILLERMIN GEORGES;TPE / PME;60702053400022;Verdissement;Modernisation de la filière automobile;HAUTE-SAVOIE;Ayse;74130;46.0869924496, 6.44601645014;"L'entreprise Guillermin Georges est une PME spécialisée dans le décolletage, l'usinage et l'assemblage de composants mécaniques en tous types de matériaux. 
Le projet GDU 2022 doit permettre à l’entreprise de diversifier ses prestations pour l'aéronautique et les biens d'équipements, d'augmenter ses capacités de production et de réduire son empreinte environnementale, via l’installation de machines à commande numérique robotisées et d’une nouvelle station de nettoyage des pièces.";Automobile;2022-02-03;Automobile;;74.0;AUVERGNE-RHÔNE-ALPES
F2J JAPY;ETI;889413423;Verdissement;Modernisation de la filière automobile;DOUBS;L'AIGLE;25700;47.4647367767, 6.82570788244;"L’entreprise F2J JAPY est spécialisée dans l’usinage et l’assemblage de composants mécaniques de précision à base de tubes, barres, forge ou fonderie et notamment la réalisation de pièces complexes combinant les différents procédés d’enlèvement de matières (rectification, usinage, trempe). 
Le site de Valentigney est spécialisé dans 4 familles de produits : composants pour organes de transmissions, composants pour boîtes de vitesse, rails d’injection poids lourds et crémaillères de direction. Elle emploie 145 personnes sur le site de Valentigney.
Le projet F2J JAPY 4.0 consiste à transformer l'usine pour fiabiliser la production, sécuriser l’approvisionnement des clients et préparer le site à recevoir de nouveaux clients et accompagner les nouvelles technologies. Cette modernisation de l'outil industriel permettra de démarrer la transformation du site vers une industrie 4.0. Cette conversion est essentielle pour pérenniser l'activité sur le site de Valentigney.";Automobile;2021-02-10;Automobile;;25.0;BOURGOGNE-FRANCHE-COMTÉ
MOS-LAINE;TPE / PME;902138718;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MOSELLE;Réchicourt-le-Château;57810;48.678407747, 6.84276180766;"La société coopérative d'intérêt collectif MOS-Laine a été créée en 2021. 
L’objectif du projet (3,4M€) est la création d’une unité industrielle dédiée à la transformation de laine locale. Dans une logique de relocalisation de la filière laine sur le territoire, l’unité de transformation sera dédiée à la production d’articles en feutre et de matériaux d'isolation biosourcés en laine locale. Sa mise en œuvre devrait permettre la création de 6 emplois.";Projets territoriaux;2022-03-31;Nouveaux systèmes énergétiques;;57.0;GRAND EST
VAIOMER;TPE / PME;530022888;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;HAUTE-GARONNE;SAINT-HILAIRE-DE-CHALÉONS;31670;43.539137717, 1.5206207109;L'entreprise est spécialisée dans l'analyse des microbiomes sanguins et tissulaires de faibles biomasses bactériennes. Le projet a pour but de moderniser ses outils de production et de diversifier son offre de services. Il renforcera les domaines de l'analyse du microbiote et ses applications dans le secteur de la santé et du diagnostic en France. Ainsi, les produits développés permettront de répondre à des enjeux sanitaires importants.;Relocalisation;2021-03-31;Santé;;31.0;OCCITANIE
VF BIOSCIENCE;TPE / PME;532728565;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;NORD;LOOS;59120;50.608350368, 3.02066096506;"L’entreprise VF Bioscience, spécialiste de la recherche sur les de bactéries lactiques, souhaite diversifier son activité vers le développement et la commercialisation de produits créés à partir de lactofermentations végétales Son projet vise à mettre en place une unité de fermentation industrielle permettant la production d’actifs à haute valeur ajoutée (anti-oxydants, anti-microbiens, actifs fonctionnels pour applications en santé humaine et animale...) destinés aux marchés de la nutrition-santé et des cosmétiques. Ces composés seront obtenus grâce à la fermentation de substrats végétaux par des bactéries lactiques ; les substrats seront des co-produits (déchets) issus des filières agro-alimentaires régionales (chicorée, pois, betterave...). Sept emplois pourraient être créés grâce à ce projet.";Relocalisation;2021-10-26;Agroalimentaire;;59.0;HAUTS-DE-FRANCE
STUDEC SAS;TPE / PME;562101626;Verdissement;Modernisation de la filière aéronautique;YVELINES;MAUREPAS;78310;48.7698393561, 1.92404037065;STUDEC est une société Française de Conseil R&D spécialisée principalement dans l’ingénierie documentaire (Prestations de services et logiciel) dans les domaines de l’Aéronautique et du Militaire. Le projet vise à industrialiser une chaine de publication  permettant de gérer la totalité du cycle de vie d’une documentation technique complexe en environnement normé.;Aéronautique;2021-02-10;Aéronautique;;78.0;ÎLE-DE-FRANCE
ALPHADEC;ETI;753750090;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PAS-DE-CALAIS;ARQUES;62510;50.7462216255, 2.31602794783;Alphadec est dores et déjà l'unité de décor sur bouteilles la plus moderne au Monde. Elle réalise en ligne et sans rupture des opérations de satinage avec ou sans réserves et des opérations de sérigraphie en 7 couleurs de plus en plus vertueuses en matière d'environnement, puisqu'elles ont recours à des matériaux organiques. Le projet consiste d'une part à doubler cette capacité de production en ajoutant en outre un décor numérique également sans rupture, susceptible de s'appliquer sur une surface non développable, d'une signature unique car variable unitairement.;Projets territoriaux;2021-08-31;Agroalimentaire;;62.0;HAUTS-DE-FRANCE
CORSICA COMPTOIR;GIE;484221221;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;HAUTE-CORSE;SAN NICOLAO;20230;42.2649423913, 9.50202161228;Corsica Comptoir est un comptoir de vente commun créé par des arboriculteurs en 2005. Son projet vise à créer la première unité industrielle de transformation d’agrumes en Corse et à l’échelle de la France. 99 % des jus d’agrumes sont actuellement importés. Ce projet permettrait d’accroître notre souveraineté en réduisant notre dépendance aux importations, en plus de créer 26 emplois directs en milieu rural.;Relocalisation;2021-02-23;Agroalimentaire;;;CORSE
